# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 1440
# Number of independent replications: 1
# Stop time: 144.0
# Start time: 0.0
# Model Parameters
# Run time = 0.6079999804496765
# Time, "GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "P", "PRR5_NI_mRNA", "PRR5_NI_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_modif", "Y_mRNA", "Y_prot", "ZTL", "light"
12.108408617095206, 14.0, 7.0, 1.0, 77.0, 153.0, 38.0, 4.0, 7.0, 0.0, 136.0, 0.0, 20.0, 0.0, 2.0, 2.0, 2.0, 7.0, 10.0, 35.0, 0.393258788859007
12.208478109798472, 13.0, 5.0, 2.0, 75.0, 153.0, 38.0, 7.0, 7.0, 0.0, 135.0, 0.0, 23.0, 0.0, 2.0, 2.0, 2.0, 7.0, 10.0, 37.0, 0.30281844157467497
12.308547602501738, 13.0, 5.0, 2.0, 75.0, 149.0, 39.0, 10.0, 7.0, 0.0, 134.0, 0.0, 23.0, 0.0, 2.0, 2.0, 2.0, 7.0, 8.0, 42.0, 0.22544884761337525
12.408617095205004, 13.0, 5.0, 2.0, 75.0, 150.0, 37.0, 11.0, 8.0, 0.0, 141.0, 0.0, 24.0, 0.0, 2.0, 2.0, 1.0, 6.0, 8.0, 41.0, 0.16321915697877953
12.50868658790827, 14.0, 4.0, 1.0, 72.0, 143.0, 38.0, 14.0, 9.0, 0.0, 142.0, 0.0, 22.0, 0.0, 2.0, 2.0, 1.0, 6.0, 9.0, 42.0, 0.11560277484503967
12.608756080611537, 14.0, 4.0, 1.0, 71.0, 143.0, 36.0, 15.0, 9.0, 0.0, 145.0, 0.0, 21.0, 0.0, 2.0, 3.0, 1.0, 6.0, 9.0, 38.0, 0.08054061192871109
12.708825573314803, 14.0, 4.0, 1.0, 70.0, 143.0, 35.0, 17.0, 9.0, 0.0, 146.0, 0.0, 22.0, 0.0, 2.0, 3.0, 1.0, 7.0, 9.0, 43.0, 0.05544605190154628
12.808895066018069, 12.0, 4.0, 3.0, 70.0, 139.0, 34.0, 19.0, 9.0, 0.0, 151.0, 0.0, 24.0, 0.0, 2.0, 3.0, 1.0, 7.0, 9.0, 43.0, 0.03784851127520361
12.908964558721335, 13.0, 3.0, 3.0, 68.0, 137.0, 35.0, 19.0, 9.0, 0.0, 149.0, 0.0, 19.0, 0.0, 2.0, 3.0, 1.0, 5.0, 8.0, 44.0, 0.025684230763536542
13.009034051424601, 11.0, 3.0, 4.0, 66.0, 132.0, 36.0, 24.0, 9.0, 0.0, 149.0, 0.0, 18.0, 0.0, 2.0, 3.0, 1.0, 4.0, 8.0, 41.0, 0.017358940900614517
13.109103544127867, 10.0, 3.0, 5.0, 65.0, 136.0, 36.0, 27.0, 9.0, 0.0, 150.0, 0.0, 19.0, 0.0, 2.0, 3.0, 1.0, 4.0, 7.0, 40.0, 0.011699806632464727
13.209173036831134, 9.0, 2.0, 6.0, 64.0, 136.0, 36.0, 32.0, 9.0, 0.0, 152.0, 0.0, 17.0, 0.0, 2.0, 3.0, 1.0, 4.0, 8.0, 37.0, 0.007870811590759641
13.3092425295344, 8.0, 1.0, 7.0, 64.0, 135.0, 36.0, 35.0, 9.0, 0.0, 151.0, 0.0, 17.0, 0.0, 2.0, 3.0, 1.0, 5.0, 8.0, 31.0, 0.005288226330207313
13.409312022237666, 8.0, 1.0, 5.0, 61.0, 133.0, 37.0, 36.0, 9.0, 0.0, 150.0, 0.0, 20.0, 0.0, 2.0, 3.0, 1.0, 5.0, 8.0, 31.0, 0.003550011568516198
13.509381514940932, 8.0, 0.0, 5.0, 61.0, 132.0, 38.0, 37.0, 11.0, 0.0, 148.0, 0.0, 18.0, 0.0, 2.0, 3.0, 1.0, 5.0, 8.0, 31.0, 0.00238177166216591
13.609451007644198, 8.0, 0.0, 4.0, 60.0, 132.0, 38.0, 37.0, 11.0, 0.0, 148.0, 0.0, 19.0, 0.0, 2.0, 4.0, 1.0, 4.0, 7.0, 37.0, 0.0015973605498408316
13.709520500347464, 8.0, 0.0, 4.0, 58.0, 133.0, 39.0, 38.0, 12.0, 0.0, 150.0, 0.0, 19.0, 0.0, 2.0, 4.0, 1.0, 4.0, 7.0, 41.0, 0.0010710095347820081
13.80958999305073, 7.0, 0.0, 5.0, 57.0, 133.0, 40.0, 39.0, 13.0, 0.0, 149.0, 0.0, 19.0, 0.0, 2.0, 4.0, 1.0, 4.0, 8.0, 43.0, 7.179732805338013E-4
13.909659485753997, 6.0, 0.0, 6.0, 57.0, 133.0, 40.0, 41.0, 14.0, 0.0, 147.0, 0.0, 18.0, 0.0, 3.0, 3.0, 1.0, 6.0, 8.0, 40.0, 4.812520989323499E-4
14.009728978457263, 5.0, 0.0, 5.0, 55.0, 128.0, 41.0, 44.0, 13.0, 0.0, 151.0, 0.0, 15.0, 0.0, 3.0, 3.0, 1.0, 6.0, 8.0, 38.0, 3.2255447529938586E-4
14.109798471160529, 4.0, 0.0, 6.0, 53.0, 127.0, 40.0, 45.0, 13.0, 0.0, 149.0, 0.0, 16.0, 0.0, 3.0, 3.0, 1.0, 5.0, 9.0, 37.0, 2.1617763896530917E-4
14.209867963863795, 4.0, 0.0, 6.0, 51.0, 120.0, 44.0, 47.0, 13.0, 0.0, 148.0, 0.0, 13.0, 0.0, 3.0, 3.0, 1.0, 6.0, 9.0, 40.0, 1.4487826147602245E-4
14.309937456567061, 4.0, 0.0, 6.0, 50.0, 118.0, 45.0, 48.0, 14.0, 0.0, 148.0, 0.0, 15.0, 0.0, 3.0, 3.0, 1.0, 7.0, 10.0, 45.0, 9.709245166500402E-5
14.410006949270327, 4.0, 0.0, 6.0, 50.0, 121.0, 44.0, 49.0, 14.0, 0.0, 146.0, 0.0, 15.0, 0.0, 3.0, 3.0, 1.0, 5.0, 9.0, 38.0, 6.506701194020081E-5
14.510076441973593, 4.0, 0.0, 6.0, 50.0, 122.0, 45.0, 49.0, 14.0, 0.0, 149.0, 0.0, 14.0, 0.0, 3.0, 2.0, 1.0, 5.0, 8.0, 33.0, 4.360453612833881E-5
14.61014593467686, 4.0, 0.0, 6.0, 50.0, 120.0, 45.0, 51.0, 15.0, 0.0, 151.0, 0.0, 14.0, 0.0, 2.0, 2.0, 1.0, 5.0, 7.0, 31.0, 2.9221291295844498E-5
14.710215427380126, 3.0, 0.0, 7.0, 49.0, 117.0, 46.0, 52.0, 15.0, 0.0, 153.0, 0.0, 14.0, 0.0, 2.0, 2.0, 1.0, 5.0, 7.0, 34.0, 1.95823620541824E-5
14.810284920083392, 3.0, 0.0, 7.0, 48.0, 115.0, 45.0, 55.0, 14.0, 0.0, 152.0, 0.0, 14.0, 0.0, 2.0, 2.0, 1.0, 4.0, 6.0, 38.0, 1.3122886338923223E-5
14.910354412786658, 2.0, 0.0, 7.0, 46.0, 116.0, 43.0, 56.0, 14.0, 0.0, 149.0, 0.0, 14.0, 0.0, 2.0, 2.0, 1.0, 1.0, 5.0, 36.0, 8.794127003108887E-6
15.010423905489924, 2.0, 0.0, 7.0, 45.0, 112.0, 42.0, 58.0, 14.0, 0.0, 151.0, 0.0, 17.0, 0.0, 2.0, 2.0, 1.0, 1.0, 3.0, 40.0, 5.893258336553409E-6
15.11049339819319, 2.0, 0.0, 7.0, 45.0, 110.0, 42.0, 59.0, 14.0, 0.0, 149.0, 0.0, 17.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 43.0, 3.9492789422612695E-6
15.210562890896457, 2.0, 0.0, 7.0, 43.0, 110.0, 42.0, 59.0, 11.0, 0.0, 145.0, 0.0, 16.0, 0.0, 2.0, 3.0, 1.0, 1.0, 2.0, 42.0, 2.6465485259974386E-6
15.310632383599723, 2.0, 0.0, 7.0, 43.0, 105.0, 43.0, 59.0, 11.0, 0.0, 147.0, 0.0, 12.0, 0.0, 1.0, 3.0, 1.0, 1.0, 2.0, 39.0, 1.7735430172249878E-6
15.410701876302989, 2.0, 0.0, 6.0, 42.0, 103.0, 45.0, 59.0, 14.0, 0.0, 148.0, 0.0, 12.0, 0.0, 1.0, 3.0, 1.0, 1.0, 2.0, 41.0, 1.1885117155996383E-6
15.510771369006255, 2.0, 0.0, 6.0, 39.0, 102.0, 45.0, 59.0, 14.0, 0.0, 142.0, 0.0, 12.0, 0.0, 1.0, 3.0, 1.0, 3.0, 2.0, 41.0, 7.964621172584785E-7
15.610840861709521, 1.0, 0.0, 6.0, 37.0, 103.0, 45.0, 60.0, 14.0, 0.0, 141.0, 0.0, 11.0, 0.0, 1.0, 3.0, 1.0, 4.0, 3.0, 42.0, 5.33736281171926E-7
15.710910354412787, 1.0, 0.0, 6.0, 35.0, 99.0, 45.0, 62.0, 14.0, 0.0, 139.0, 0.0, 13.0, 0.0, 1.0, 3.0, 1.0, 3.0, 3.0, 45.0, 3.5767475670134274E-7
15.810979847116053, 1.0, 0.0, 6.0, 33.0, 96.0, 47.0, 64.0, 13.0, 0.0, 139.0, 0.0, 12.0, 0.0, 1.0, 3.0, 1.0, 3.0, 3.0, 46.0, 2.3968995493950374E-7
15.91104933981932, 1.0, 0.0, 6.0, 32.0, 96.0, 48.0, 64.0, 13.0, 0.0, 140.0, 0.0, 11.0, 0.0, 1.0, 3.0, 1.0, 5.0, 3.0, 45.0, 1.6062434404773285E-7
16.011118832522587, 1.0, 0.0, 5.0, 32.0, 92.0, 50.0, 65.0, 13.0, 0.0, 140.0, 0.0, 14.0, 0.0, 1.0, 3.0, 1.0, 7.0, 4.0, 46.0, 1.0763980590189348E-7
16.111188325225854, 1.0, 0.0, 5.0, 31.0, 90.0, 50.0, 66.0, 13.0, 0.0, 144.0, 0.0, 14.0, 0.0, 1.0, 3.0, 1.0, 7.0, 4.0, 40.0, 7.213307939846203E-8
16.21125781792912, 1.0, 0.0, 5.0, 30.0, 90.0, 49.0, 68.0, 13.0, 0.0, 144.0, 0.0, 14.0, 0.0, 1.0, 3.0, 1.0, 7.0, 5.0, 35.0, 4.8338827773886095E-8
16.311327310632386, 1.0, 0.0, 5.0, 28.0, 87.0, 48.0, 69.0, 12.0, 0.0, 140.0, 0.0, 15.0, 0.0, 1.0, 3.0, 1.0, 7.0, 5.0, 37.0, 3.2393504378891436E-8
16.411396803335652, 1.0, 0.0, 5.0, 26.0, 82.0, 50.0, 69.0, 11.0, 0.0, 138.0, 0.0, 18.0, 0.0, 1.0, 3.0, 1.0, 7.0, 6.0, 37.0, 2.1708016662014273E-8
16.51146629603892, 1.0, 0.0, 4.0, 25.0, 80.0, 50.0, 70.0, 14.0, 0.0, 138.0, 0.0, 16.0, 0.0, 1.0, 3.0, 1.0, 6.0, 6.0, 37.0, 1.4547328508474067E-8
16.611535788742184, 0.0, 0.0, 5.0, 24.0, 78.0, 50.0, 70.0, 15.0, 0.0, 137.0, 0.0, 17.0, 0.0, 1.0, 3.0, 1.0, 4.0, 6.0, 40.0, 9.748736373715872E-9
16.71160528144545, 0.0, 0.0, 5.0, 24.0, 78.0, 49.0, 70.0, 16.0, 0.0, 137.0, 0.0, 18.0, 0.0, 1.0, 3.0, 1.0, 4.0, 5.0, 44.0, 6.533077301362766E-9
16.811674774148717, 0.0, 0.0, 5.0, 23.0, 75.0, 50.0, 71.0, 18.0, 0.0, 133.0, 0.0, 21.0, 0.0, 2.0, 3.0, 1.0, 5.0, 5.0, 43.0, 4.378214901734623E-9
16.911744266851983, 0.0, 0.0, 5.0, 22.0, 75.0, 49.0, 73.0, 18.0, 0.0, 137.0, 0.0, 19.0, 0.0, 2.0, 3.0, 1.0, 6.0, 4.0, 41.0, 2.9342572260837585E-9
17.01181375955525, 0.0, 0.0, 5.0, 22.0, 70.0, 50.0, 73.0, 18.0, 0.0, 138.0, 0.0, 18.0, 0.0, 3.0, 4.0, 1.0, 5.0, 4.0, 39.0, 1.9667441564230614E-9
17.111883252258515, 0.0, 0.0, 5.0, 22.0, 69.0, 51.0, 75.0, 16.0, 0.0, 140.0, 0.0, 17.0, 0.0, 3.0, 5.0, 1.0, 5.0, 4.0, 42.0, 1.3185776359669887E-9
17.21195274496178, 0.0, 0.0, 5.0, 20.0, 68.0, 50.0, 75.0, 15.0, 0.0, 139.0, 0.0, 14.0, 0.0, 3.0, 5.0, 1.0, 5.0, 4.0, 42.0, 8.845126298062667E-10
17.312022237665047, 0.0, 0.0, 5.0, 20.0, 64.0, 50.0, 75.0, 15.0, 0.0, 139.0, 0.0, 13.0, 0.0, 2.0, 4.0, 1.0, 7.0, 4.0, 45.0, 5.940687941574652E-10
17.412091730368314, 0.0, 0.0, 5.0, 19.0, 64.0, 49.0, 76.0, 15.0, 0.0, 137.0, 0.0, 17.0, 0.0, 2.0, 4.0, 1.0, 8.0, 5.0, 47.0, 4.0008574231364946E-10
17.51216122307158, 0.0, 0.0, 5.0, 19.0, 63.0, 50.0, 77.0, 13.0, 0.0, 136.0, 0.0, 13.0, 0.0, 2.0, 4.0, 1.0, 7.0, 5.0, 51.0, 2.71066002976994E-10
17.612230715774846, 0.0, 0.0, 5.0, 19.0, 63.0, 49.0, 77.0, 12.0, 0.0, 135.0, 0.0, 15.0, 0.0, 2.0, 4.0, 1.0, 6.0, 4.0, 47.0, 1.8606005625088073E-10
17.712300208478112, 0.0, 0.0, 5.0, 19.0, 61.0, 48.0, 77.0, 14.0, 0.0, 134.0, 0.0, 15.0, 0.0, 2.0, 2.0, 1.0, 7.0, 4.0, 51.0, 1.3126522091511106E-10
17.812369701181378, 0.0, 0.0, 4.0, 19.0, 62.0, 47.0, 77.0, 15.0, 0.0, 137.0, 0.0, 16.0, 0.0, 2.0, 2.0, 1.0, 6.0, 5.0, 51.0, 9.778444720609514E-11
17.912439193884644, 0.0, 0.0, 4.0, 19.0, 57.0, 47.0, 78.0, 18.0, 0.0, 137.0, 0.0, 15.0, 0.0, 2.0, 2.0, 1.0, 7.0, 5.0, 48.0, 8.018113950569727E-11
18.01250868658791, 0.0, 0.0, 4.0, 19.0, 56.0, 47.0, 78.0, 18.0, 0.0, 138.0, 0.0, 15.0, 0.0, 2.0, 2.0, 1.0, 10.0, 6.0, 48.0, 7.55971951704737E-11
18.112578179291177, 0.0, 0.0, 4.0, 19.0, 55.0, 49.0, 78.0, 20.0, 0.0, 137.0, 0.0, 12.0, 0.0, 1.0, 2.0, 1.0, 10.0, 8.0, 47.0, 8.328826517356447E-11
18.212647671994443, 0.0, 0.0, 4.0, 17.0, 55.0, 48.0, 78.0, 21.0, 0.0, 136.0, 0.0, 12.0, 0.0, 1.0, 2.0, 1.0, 12.0, 10.0, 44.0, 1.045030173507655E-10
18.31271716469771, 0.0, 0.0, 4.0, 17.0, 55.0, 47.0, 79.0, 21.0, 0.0, 134.0, 0.0, 12.0, 0.0, 1.0, 2.0, 1.0, 10.0, 10.0, 43.0, 1.4268625170288374E-10
18.412786657400975, 0.0, 0.0, 4.0, 16.0, 54.0, 48.0, 80.0, 24.0, 0.0, 138.0, 0.0, 13.0, 0.0, 2.0, 2.0, 1.0, 10.0, 11.0, 40.0, 2.0403778666633343E-10
18.51285615010424, 0.0, 0.0, 4.0, 16.0, 54.0, 47.0, 80.0, 28.0, 0.0, 142.0, 0.0, 14.0, 0.0, 2.0, 3.0, 1.0, 11.0, 11.0, 35.0, 2.985197644633786E-10
18.612925642807507, 0.0, 0.0, 4.0, 15.0, 52.0, 49.0, 80.0, 27.0, 0.0, 141.0, 0.0, 15.0, 0.0, 2.0, 3.0, 1.0, 10.0, 10.0, 30.0, 4.414733023594408E-10
18.712995135510774, 0.0, 0.0, 4.0, 15.0, 52.0, 49.0, 81.0, 25.0, 0.0, 142.0, 0.0, 17.0, 0.0, 1.0, 3.0, 1.0, 9.0, 10.0, 29.0, 6.561102217084169E-10
18.81306462821404, 0.0, 0.0, 4.0, 15.0, 51.0, 47.0, 82.0, 23.0, 0.0, 142.0, 0.0, 17.0, 0.0, 1.0, 2.0, 1.0, 12.0, 11.0, 30.0, 9.772819220543738E-10
18.913134120917306, 0.0, 0.0, 4.0, 15.0, 51.0, 46.0, 82.0, 24.0, 0.0, 136.0, 0.0, 15.0, 0.0, 2.0, 2.0, 1.0, 13.0, 11.0, 27.0, 1.4571380213546092E-9
19.013203613620572, 0.0, 0.0, 4.0, 15.0, 47.0, 47.0, 82.0, 23.0, 0.0, 133.0, 0.0, 17.0, 0.0, 2.0, 2.0, 1.0, 12.0, 11.0, 30.0, 2.1735941935219216E-9
19.113273106323838, 0.0, 0.0, 4.0, 14.0, 45.0, 45.0, 82.0, 23.0, 0.0, 137.0, 0.0, 17.0, 0.0, 2.0, 2.0, 1.0, 13.0, 12.0, 33.0, 3.242983714901726E-9
19.213342599027104, 0.0, 0.0, 4.0, 14.0, 44.0, 46.0, 82.0, 23.0, 0.0, 135.0, 0.0, 11.0, 0.0, 2.0, 2.0, 1.0, 15.0, 12.0, 33.0, 4.838946798813026E-9
19.31341209173037, 0.0, 0.0, 4.0, 14.0, 44.0, 44.0, 82.0, 21.0, 0.0, 139.0, 0.0, 13.0, 0.0, 2.0, 2.0, 1.0, 17.0, 11.0, 37.0, 7.2206251533479815E-9
19.413481584433637, 0.0, 0.0, 4.0, 14.0, 43.0, 45.0, 82.0, 22.0, 0.0, 141.0, 0.0, 13.0, 0.0, 2.0, 2.0, 1.0, 17.0, 11.0, 35.0, 1.0774739378494047E-8
19.513551077136903, 0.0, 0.0, 3.0, 13.0, 42.0, 43.0, 83.0, 19.0, 0.0, 135.0, 0.0, 13.0, 0.0, 3.0, 2.0, 1.0, 19.0, 11.0, 31.0, 1.607838207018375E-8
19.61362056984017, 0.0, 0.0, 3.0, 12.0, 41.0, 42.0, 84.0, 17.0, 0.0, 134.0, 0.0, 15.0, 0.0, 3.0, 2.0, 1.0, 20.0, 12.0, 35.0, 2.399272280850795E-8
19.713690062543435, 0.0, 0.0, 3.0, 12.0, 39.0, 41.0, 85.0, 18.0, 0.0, 129.0, 0.0, 14.0, 0.0, 4.0, 2.0, 1.0, 21.0, 11.0, 30.0, 3.580283791659866E-8
19.8137595552467, 0.0, 0.0, 3.0, 12.0, 39.0, 39.0, 85.0, 17.0, 0.0, 121.0, 0.0, 16.0, 0.0, 4.0, 2.0, 1.0, 21.0, 12.0, 31.0, 5.342637315886023E-8
19.913829047949967, 0.0, 0.0, 3.0, 12.0, 38.0, 39.0, 85.0, 16.0, 0.0, 122.0, 0.0, 17.0, 0.0, 4.0, 2.0, 1.0, 23.0, 14.0, 32.0, 7.972491711250029E-8
20.013898540653233, 0.0, 0.0, 2.0, 12.0, 38.0, 38.0, 86.0, 15.0, 0.0, 118.0, 0.0, 17.0, 0.0, 4.0, 2.0, 1.0, 24.0, 16.0, 34.0, 1.1896864621219194E-7
20.1139680333565, 0.0, 0.0, 2.0, 12.0, 37.0, 37.0, 86.0, 16.0, 0.0, 115.0, 0.0, 15.0, 0.0, 4.0, 2.0, 1.0, 22.0, 17.0, 31.0, 1.7752968561879356E-7
20.214037526059766, 0.0, 0.0, 2.0, 12.0, 36.0, 34.0, 86.0, 16.0, 0.0, 116.0, 0.0, 14.0, 0.0, 4.0, 2.0, 1.0, 25.0, 18.0, 31.0, 2.6491676874407233E-7
20.314107018763032, 0.0, 0.0, 2.0, 12.0, 36.0, 34.0, 86.0, 16.0, 0.0, 113.0, 0.0, 13.0, 0.0, 4.0, 2.0, 1.0, 27.0, 23.0, 28.0, 3.9531919437951757E-7
20.414176511466298, 0.0, 0.0, 2.0, 12.0, 35.0, 35.0, 87.0, 17.0, 0.0, 109.0, 0.0, 11.0, 0.0, 6.0, 2.0, 1.0, 26.0, 22.0, 27.0, 5.899107752282973E-7
20.514246004169564, 0.0, 0.0, 2.0, 11.0, 33.0, 37.0, 88.0, 17.0, 0.0, 110.0, 0.0, 11.0, 0.0, 8.0, 2.0, 1.0, 29.0, 22.0, 27.0, 8.802878666003267E-7
20.61431549687283, 0.0, 0.0, 2.0, 11.0, 34.0, 35.0, 88.0, 19.0, 0.0, 110.0, 0.0, 11.0, 0.0, 9.0, 3.0, 1.0, 35.0, 23.0, 26.0, 1.3135997017910128E-6
20.714384989576097, 0.0, 0.0, 2.0, 11.0, 34.0, 35.0, 88.0, 20.0, 0.0, 108.0, 0.0, 11.0, 0.0, 9.0, 3.0, 1.0, 38.0, 23.0, 27.0, 1.960204013606859E-6
20.814454482279363, 0.0, 0.0, 2.0, 10.0, 30.0, 35.0, 88.0, 19.0, 0.0, 107.0, 0.0, 11.0, 0.0, 10.0, 4.0, 1.0, 37.0, 24.0, 28.0, 2.9250909146516513E-6
20.91452397498263, 0.0, 0.0, 2.0, 10.0, 29.0, 35.0, 89.0, 21.0, 0.0, 106.0, 0.0, 11.0, 0.0, 10.0, 5.0, 1.0, 39.0, 27.0, 28.0, 4.364929740374723E-6
21.014593467685895, 0.0, 0.0, 2.0, 10.0, 28.0, 34.0, 89.0, 20.0, 0.0, 103.0, 0.0, 10.0, 0.0, 11.0, 5.0, 1.0, 43.0, 28.0, 29.0, 6.513506311978112E-6
21.11466296038916, 0.0, 0.0, 2.0, 9.0, 29.0, 34.0, 89.0, 20.0, 0.0, 101.0, 0.0, 10.0, 0.0, 11.0, 5.0, 1.0, 42.0, 28.0, 31.0, 9.719679841535545E-6
21.214732453092427, 0.0, 0.0, 2.0, 9.0, 30.0, 35.0, 90.0, 19.0, 0.0, 100.0, 0.0, 10.0, 0.0, 10.0, 5.0, 1.0, 41.0, 31.0, 38.0, 1.4504020200645229E-5
21.314801945795693, 0.0, 0.0, 2.0, 9.0, 31.0, 33.0, 91.0, 20.0, 0.0, 101.0, 0.0, 11.0, 0.0, 10.0, 4.0, 1.0, 39.0, 31.0, 37.0, 2.1643316445996152E-5
21.41487143849896, 0.0, 0.0, 2.0, 9.0, 32.0, 32.0, 91.0, 18.0, 0.0, 101.0, 0.0, 12.0, 0.0, 12.0, 4.0, 1.0, 40.0, 31.0, 35.0, 3.229666631282546E-5
21.514940931202226, 0.0, 0.0, 2.0, 9.0, 30.0, 31.0, 91.0, 18.0, 0.0, 97.0, 0.0, 14.0, 0.0, 12.0, 4.0, 1.0, 38.0, 30.0, 31.0, 4.8193593053413863E-5
21.615010423905492, 0.0, 0.0, 1.0, 9.0, 30.0, 29.0, 91.0, 18.0, 0.0, 94.0, 0.0, 13.0, 0.0, 13.0, 5.0, 1.0, 37.0, 31.0, 31.0, 7.191467424522147E-5
21.715079916608758, 0.0, 0.0, 1.0, 9.0, 31.0, 29.0, 91.0, 17.0, 0.0, 94.0, 0.0, 12.0, 0.0, 14.0, 5.0, 1.0, 38.0, 32.0, 32.0, 1.0731011445558325E-4
21.815149409312024, 0.0, 0.0, 1.0, 8.0, 31.0, 29.0, 91.0, 17.0, 0.0, 93.0, 0.0, 9.0, 0.0, 11.0, 4.0, 1.0, 35.0, 33.0, 36.0, 1.6012392688546928E-4
21.91521890201529, 0.0, 0.0, 1.0, 8.0, 29.0, 28.0, 91.0, 15.0, 0.0, 94.0, 0.0, 6.0, 0.0, 12.0, 3.0, 1.0, 33.0, 35.0, 32.0, 2.3892440696959838E-4
22.015288394718556, 0.0, 0.0, 1.0, 8.0, 29.0, 28.0, 91.0, 13.0, 0.0, 89.0, 0.0, 7.0, 0.0, 13.0, 3.0, 1.0, 33.0, 36.0, 36.0, 3.564904968810234E-4
22.115357887421823, 0.0, 0.0, 1.0, 8.0, 29.0, 28.0, 91.0, 12.0, 0.0, 87.0, 0.0, 5.0, 0.0, 13.0, 4.0, 1.0, 32.0, 36.0, 34.0, 5.318758462040107E-4
22.21542738012509, 0.0, 0.0, 1.0, 8.0, 27.0, 28.0, 91.0, 13.0, 0.0, 85.0, 0.0, 7.0, 0.0, 13.0, 6.0, 1.0, 33.0, 35.0, 35.0, 7.934783735744078E-4
22.315496872828355, 0.0, 0.0, 1.0, 8.0, 26.0, 28.0, 92.0, 12.0, 0.0, 88.0, 0.0, 7.0, 0.0, 15.0, 6.0, 1.0, 34.0, 37.0, 36.0, 0.0011835974319636677
22.41556636553162, 0.0, 0.0, 1.0, 7.0, 26.0, 28.0, 92.0, 12.0, 0.0, 86.0, 0.0, 6.0, 0.0, 16.0, 6.0, 1.0, 32.0, 39.0, 35.0, 0.001765182349105221
22.515635858234887, 0.0, 1.0, 1.0, 7.0, 25.0, 28.0, 93.0, 12.0, 0.0, 87.0, 0.0, 7.0, 0.0, 15.0, 6.0, 1.0, 35.0, 38.0, 32.0, 0.0026317879778801068
22.615705350938153, 0.0, 1.0, 1.0, 7.0, 24.0, 27.0, 93.0, 12.0, 0.0, 84.0, 0.0, 4.0, 0.0, 15.0, 6.0, 1.0, 37.0, 36.0, 28.0, 0.003922176754010465
22.71577484364142, 0.0, 0.0, 1.0, 7.0, 23.0, 28.0, 93.0, 12.0, 0.0, 84.0, 0.0, 4.0, 0.0, 17.0, 6.0, 1.0, 37.0, 37.0, 27.0, 0.005841548852297318
22.815844336344686, 0.0, 0.0, 1.0, 7.0, 24.0, 28.0, 93.0, 11.0, 0.0, 81.0, 0.0, 6.0, 0.0, 19.0, 6.0, 1.0, 40.0, 38.0, 27.0, 0.00869199626219963
22.915913829047952, 0.0, 1.0, 1.0, 7.0, 24.0, 27.0, 93.0, 13.0, 0.0, 79.0, 0.0, 6.0, 0.0, 20.0, 6.0, 1.0, 43.0, 39.0, 26.0, 0.012915281036174064
23.015983321751218, 0.0, 2.0, 1.0, 7.0, 23.0, 27.0, 93.0, 13.0, 0.0, 74.0, 0.0, 6.0, 0.0, 20.0, 6.0, 1.0, 39.0, 40.0, 27.0, 0.019150941328858972
23.116052814454484, 0.0, 3.0, 1.0, 7.0, 22.0, 26.0, 93.0, 14.0, 0.0, 73.0, 0.0, 6.0, 0.0, 19.0, 7.0, 1.0, 41.0, 41.0, 32.0, 0.028310907307633637
23.21612230715775, 0.0, 4.0, 1.0, 7.0, 21.0, 24.0, 92.0, 12.0, 0.0, 71.0, 0.0, 5.0, 0.0, 17.0, 7.0, 1.0, 38.0, 44.0, 30.0, 0.041666005603772094
23.316191799861016, 0.0, 4.0, 1.0, 8.0, 19.0, 25.0, 91.0, 12.0, 0.0, 70.0, 0.0, 6.0, 0.0, 17.0, 7.0, 1.0, 42.0, 43.0, 32.0, 0.060926084092599364
23.416261292564283, 1.0, 5.0, 0.0, 8.0, 19.0, 24.0, 91.0, 11.0, 0.0, 68.0, 0.0, 7.0, 0.0, 17.0, 6.0, 1.0, 45.0, 43.0, 32.0, 0.08826909581604092
23.51633078526755, 1.0, 4.0, 0.0, 9.0, 19.0, 22.0, 88.0, 9.0, 0.0, 65.0, 0.0, 12.0, 0.0, 18.0, 6.0, 1.0, 46.0, 46.0, 31.0, 0.12623382560349172
23.616400277970815, 1.0, 5.0, 1.0, 13.0, 20.0, 22.0, 87.0, 10.0, 0.0, 63.0, 0.0, 14.0, 0.0, 18.0, 6.0, 1.0, 55.0, 47.0, 36.0, 0.17735098735940957
23.71646977067408, 0.0, 5.0, 2.0, 16.0, 20.0, 22.0, 87.0, 10.0, 0.0, 63.0, 0.0, 20.0, 0.0, 16.0, 7.0, 1.0, 57.0, 48.0, 35.0, 0.24340140223282342
23.816539263377347, 1.0, 12.0, 1.0, 18.0, 20.0, 21.0, 80.0, 10.0, 0.0, 63.0, 0.0, 29.0, 0.0, 16.0, 7.0, 1.0, 67.0, 49.0, 34.0, 0.3243519864255602
23.916608756080613, 1.0, 14.0, 1.0, 25.0, 19.0, 21.0, 78.0, 10.0, 0.0, 63.0, 0.0, 36.0, 0.0, 17.0, 7.0, 1.0, 71.0, 53.0, 39.0, 0.4173734633295053
